time,approved,failed,denied,reversed,refunded,processing,backend_reversed
21h 00,87,,12,,1,,
21h 01,112,,12,3,1,,1
21h 02,126,,12,1,,,
21h 18,103,,12,,1,,1
21h 34,93,,12,,1,,
21h 46,89,,12,1,,,
21h 55,90,,12,,,,
21h 57,83,,12,,,,
22h 12,56,,12,,,,
22h 46,53,,12,,,,
22h 52,47,,12,1,,,
23h 04,55,,12,,,,
08h 08,140,,13,1,,,2
08h 34,198,,13,2,,,
15h 55,109,,13,15,1,5,4
15h 58,39,,13,19,,6,7
18h 03,115,,13,27,5,9,9
20h 23,139,,13,4,1,,
20h 34,139,,13,2,1,,
21h 15,116,,13,,,,2
21h 25,122,,13,,,,1
21h 27,122,,13,1,,,1
21h 49,102,,13,1,,,
21h 50,74,,13,1,1,,
22h 04,95,,13,,,,
22h 17,61,,13,,,,
22h 36,43,,13,,,,
07h 37,90,,14,,,,
07h 58,124,,14,,,,1
08h 04,126,,14,1,1,,
18h 02,80,,14,43,3,,2
18h 22,49,,14,18,2,3,5
19h 42,154,,14,4,,,
20h 07,146,,14,2,,,
20h 19,151,,14,2,1,,1
20h 55,101,,14,,,,
20h 56,105,,14,,,,
21h 09,113,,14,,,,
21h 11,96,,14,1,2,,2
21h 21,107,,14,2,1,,1
21h 40,89,,14,,,,
21h 54,90,,14,,,,
22h 07,73,,14,,,,
22h 13,87,,14,,,,
22h 21,61,,14,,,,
22h 54,49,,14,,,,
07h 49,93,,15,1,1,,
07h 52,128,,15,1,,,
08h 10,150,,15,1,,,1
08h 35,204,,15,1,1,,2
18h 17,57,1,15,30,1,9,7
19h 47,158,,15,,1,,
20h 54,128,,15,2,1,,
20h 58,114,,15,,,,1
21h 04,125,,15,,,,
21h 05,117,,15,1,,,
21h 07,128,,15,1,,,
21h 19,114,,15,,,,
21h 29,101,,15,1,,,
21h 36,100,,15,,1,,
21h 52,94,,15,,,,
21h 53,87,,15,,,,
21h 56,94,,15,3,,,
22h 14,70,,15,1,,,1
22h 47,66,,15,,1,,
22h 51,42,,15,,,,
08h 18,163,,16,,1,,
08h 20,158,,16,2,2,,
16h 51,30,,16,31,,,2
18h 23,100,,16,35,3,3,10
19h 33,156,,16,5,,,
19h 38,171,,16,,,,1
19h 46,145,,16,3,1,,
19h 53,170,,16,,2,,
19h 57,152,,16,3,1,,
20h 11,147,,16,,,,1
20h 25,148,,16,1,,,
20h 43,120,,16,1,,,
20h 44,126,,16,3,,,
20h 48,128,,16,3,,,
20h 49,121,,16,2,,,
21h 10,119,,16,3,,,1
21h 26,97,,16,,,,1
21h 35,95,,16,1,1,,
21h 38,79,,16,,,,
21h 39,90,,16,,,,
21h 43,108,,16,6,,,1
22h 11,67,,16,,,,
07h 50,110,,17,1,1,,
07h 53,119,,17,,,,
07h 57,124,,17,1,,,1
08h 26,171,,17,1,1,,
16h 23,66,,17,70,1,11,2
16h 29,35,,17,55,1,28,10
19h 23,197,,17,2,,,
19h 54,157,,17,1,,,
19h 56,161,,17,,,,
20h 14,132,,17,1,,,
20h 15,149,1,17,1,1,,
20h 21,137,,17,1,,,
20h 40,157,,17,1,,,
20h 41,164,,17,,2,,
20h 45,123,,17,,1,,
20h 46,139,,17,1,,,1
20h 53,115,,17,1,1,,
21h 06,108,,17,,,,
21h 14,110,,17,3,,,2
21h 28,103,,17,,,,
21h 37,92,,17,,,,
08h 03,113,,18,,,,3
08h 07,128,,18,1,,,2
08h 22,180,,18,3,,,
08h 36,178,,18,3,1,,
08h 38,195,,18,,1,,
08h 42,210,,18,1,2,,
08h 43,219,,18,,,,
11h 33,358,,18,1,1,,
12h 43,280,,18,4,,,
14h 33,62,,18,122,1,8,3
15h 36,97,,18,75,1,30,4
19h 04,199,,18,5,2,1,
19h 24,146,,18,2,3,,
19h 28,181,,18,2,,,
20h 16,131,,18,1,,,
20h 18,142,,18,2,,1,3
20h 22,141,,18,2,,,
20h 26,134,,18,1,1,,
20h 57,115,,18,,1,,
21h 03,127,,18,,1,,
21h 24,117,,18,,1,,
21h 30,100,,18,,,,
21h 44,81,,18,1,,,
08h 14,156,,19,1,,,1
08h 27,189,,19,,2,,1
08h 32,175,,19,2,,,1
08h 47,228,,19,,1,,2
08h 51,251,,19,2,,,
09h 04,255,,19,1,,,2
11h 59,330,,19,1,,,
12h 06,337,,19,2,1,,
12h 27,270,,19,1,1,,
13h 04,305,,19,,,,2
13h 23,256,,19,,,,
14h 34,102,,19,148,2,10,3
15h 09,25,,19,40,,5,1
16h 09,80,,19,75,3,,3
18h 13,94,,19,41,3,3,3
18h 36,182,,19,66,2,,
19h 18,174,,19,1,,,
19h 32,156,,19,5,,,
19h 35,175,,19,2,1,,1
19h 59,149,,19,1,1,,
20h 09,136,,19,2,1,,
20h 10,174,,19,2,1,,
20h 39,136,,19,1,,,
20h 42,126,,19,,,,
20h 47,153,,19,3,1,,1
20h 51,132,,19,2,,,
21h 20,102,,19,2,1,,
21h 22,112,,19,1,,,
21h 48,109,,19,,,,
22h 10,83,,19,,1,,
08h 28,203,,20,2,,,
08h 37,185,,20,,1,,
09h 06,258,,20,1,,,
12h 26,314,,20,1,,,
12h 33,263,,20,1,,,
12h 41,288,,20,2,,,1
13h 31,282,,20,,,,
17h 22,117,,20,32,,3,5
18h 10,178,,20,46,,5,4
19h 10,191,,20,,2,,
19h 22,158,,20,2,1,,
19h 49,154,,20,1,,,
20h 00,144,,20,1,1,,
20h 02,146,,20,1,,,
20h 29,104,,20,1,1,1,
20h 32,143,,20,,,,
21h 17,101,,20,,,,
07h 51,110,,21,,1,,
07h 54,89,,21,,,,
08h 09,156,,21,1,,,
08h 12,153,,21,,,,
08h 13,165,,21,1,,,
08h 23,177,,21,1,1,,
09h 05,228,,21,2,,,1
12h 15,321,,21,1,,,
12h 31,310,,21,1,,,
12h 36,300,,21,1,,,2
12h 37,262,,21,1,,,1
13h 05,292,,21,1,,,
13h 32,281,,21,1,1,,
13h 50,266,,21,,2,,
14h 06,297,,21,,1,,
16h 25,58,,21,69,1,5,4
16h 32,81,,21,77,2,12,3
16h 54,69,,21,105,2,5,6
18h 07,118,,21,47,2,4,10
18h 09,89,,21,57,5,5,12
18h 14,126,,21,55,2,5,2
18h 37,225,,21,53,4,,
18h 55,233,1,21,3,1,,3
19h 11,204,,21,1,,,
19h 27,162,,21,2,2,,
19h 29,174,,21,4,1,,2
19h 37,175,,21,1,1,,
20h 01,159,,21,2,1,,
